,procesdag,cust_id,aantal_pakketten,aantal_pakketten_volgende_dag
0,1/2/2015,klant_1,8421,0
1,1/2/2015,klant_2,4547,0
2,1/2/2015,klant_3,13,0
3,1/2/2015,klant_4,0,0
4,1/2/2015,klant_5,0,0
5,1/2/2015,klant_6,0,0
6,1/3/2015,klant_1,0,2
7,1/3/2015,klant_2,0,3507
8,1/3/2015,klant_3,0,0
9,1/3/2015,klant_4,0,0
10,1/3/2015,klant_5,0,0
11,1/3/2015,klant_6,0,0
12,1/4/2015,klant_1,2,8213
13,1/4/2015,klant_2,3507,3404
14,1/4/2015,klant_3,0,11
15,1/4/2015,klant_4,0,0
16,1/4/2015,klant_5,0,0
17,1/4/2015,klant_6,0,0
18,1/5/2015,klant_1,8213,5899
19,1/5/2015,klant_2,3404,2526
20,1/5/2015,klant_3,11,4
21,1/5/2015,klant_4,0,0
22,1/5/2015,klant_5,0,0
23,1/5/2015,klant_6,0,0
24,1/6/2015,klant_1,5899,5083
25,1/6/2015,klant_2,2526,891
26,1/6/2015,klant_3,4,4
27,1/6/2015,klant_4,0,0
28,1/6/2015,klant_5,0,0
29,1/6/2015,klant_6,0,0
30,1/7/2015,klant_1,5083,5814
31,1/7/2015,klant_2,891,1624
32,1/7/2015,klant_3,4,9
33,1/7/2015,klant_4,0,0
34,1/7/2015,klant_5,0,0
35,1/7/2015,klant_6,0,0
36,1/8/2015,klant_1,5814,4980
37,1/8/2015,klant_2,1624,2241
38,1/8/2015,klant_3,9,3
39,1/8/2015,klant_4,0,0
40,1/8/2015,klant_5,0,0
41,1/8/2015,klant_6,0,0
42,1/9/2015,klant_1,4980,0
43,1/9/2015,klant_2,2241,1
44,1/9/2015,klant_3,3,0
45,1/9/2015,klant_4,0,0
46,1/9/2015,klant_5,0,0
47,1/9/2015,klant_6,0,0
48,1/10/2015,klant_1,0,0
49,1/10/2015,klant_2,1,4
50,1/10/2015,klant_3,0,0
51,1/10/2015,klant_4,0,0
52,1/10/2015,klant_5,0,0
53,1/10/2015,klant_6,0,0
54,1/11/2015,klant_1,0,5574
55,1/11/2015,klant_2,4,7383
56,1/11/2015,klant_3,0,14
57,1/11/2015,klant_4,0,0
58,1/11/2015,klant_5,0,0
59,1/11/2015,klant_6,0,0
60,1/12/2015,klant_1,5574,7185
61,1/12/2015,klant_2,7383,3543
62,1/12/2015,klant_3,14,10
63,1/12/2015,klant_4,0,0
64,1/12/2015,klant_5,0,0
65,1/12/2015,klant_6,0,0
66,1/13/2015,klant_1,7185,5902
67,1/13/2015,klant_2,3543,1481
68,1/13/2015,klant_3,10,9
69,1/13/2015,klant_4,0,1
70,1/13/2015,klant_5,0,0
71,1/13/2015,klant_6,0,0
72,1/14/2015,klant_1,5902,6426
73,1/14/2015,klant_2,1481,2953
74,1/14/2015,klant_3,9,4
75,1/14/2015,klant_4,1,0
76,1/14/2015,klant_5,0,0
77,1/14/2015,klant_6,0,0
78,1/15/2015,klant_1,6426,4894
79,1/15/2015,klant_2,2953,2137
80,1/15/2015,klant_3,4,7
81,1/15/2015,klant_4,0,0
82,1/15/2015,klant_5,0,0
83,1/15/2015,klant_6,0,0
84,1/16/2015,klant_1,4894,0
85,1/16/2015,klant_2,2137,0
86,1/16/2015,klant_3,7,0
87,1/16/2015,klant_4,0,0
88,1/16/2015,klant_5,0,0
89,1/16/2015,klant_6,0,0
90,1/17/2015,klant_1,0,2
91,1/17/2015,klant_2,0,0
92,1/17/2015,klant_3,0,0
93,1/17/2015,klant_4,0,0
94,1/17/2015,klant_5,0,0
95,1/17/2015,klant_6,0,0
96,1/18/2015,klant_1,2,5756
97,1/18/2015,klant_2,0,7124
98,1/18/2015,klant_3,0,9
99,1/18/2015,klant_4,0,0
100,1/18/2015,klant_5,0,0
101,1/18/2015,klant_6,0,0
102,1/19/2015,klant_1,5756,7661
103,1/19/2015,klant_2,7124,2832
104,1/19/2015,klant_3,9,7
105,1/19/2015,klant_4,0,0
106,1/19/2015,klant_5,0,0
107,1/19/2015,klant_6,0,0
108,1/20/2015,klant_1,7661,6310
109,1/20/2015,klant_2,2832,1684
110,1/20/2015,klant_3,7,8
111,1/20/2015,klant_4,0,0
112,1/20/2015,klant_5,0,0
113,1/20/2015,klant_6,0,0
114,1/21/2015,klant_1,6310,5607
115,1/21/2015,klant_2,1684,1252
116,1/21/2015,klant_3,8,6
117,1/21/2015,klant_4,0,0
118,1/21/2015,klant_5,0,0
119,1/21/2015,klant_6,0,0
120,1/22/2015,klant_1,5607,5275
121,1/22/2015,klant_2,1252,1738
122,1/22/2015,klant_3,6,4
123,1/22/2015,klant_4,0,0
124,1/22/2015,klant_5,0,0
125,1/22/2015,klant_6,0,0
126,1/23/2015,klant_1,5275,0
127,1/23/2015,klant_2,1738,1
128,1/23/2015,klant_3,4,0
129,1/23/2015,klant_4,0,0
130,1/23/2015,klant_5,0,0
131,1/23/2015,klant_6,0,0
132,1/24/2015,klant_1,0,0
133,1/24/2015,klant_2,1,8
134,1/24/2015,klant_3,0,0
135,1/24/2015,klant_4,0,0
136,1/24/2015,klant_5,0,0
137,1/24/2015,klant_6,0,0
138,1/25/2015,klant_1,0,5843
139,1/25/2015,klant_2,8,2056
140,1/25/2015,klant_3,0,10
141,1/25/2015,klant_4,0,0
142,1/25/2015,klant_5,0,0
143,1/25/2015,klant_6,0,0
144,1/26/2015,klant_1,5843,7633
145,1/26/2015,klant_2,2056,8069
146,1/26/2015,klant_3,10,4
147,1/26/2015,klant_4,0,0
148,1/26/2015,klant_5,0,0
149,1/26/2015,klant_6,0,0
150,1/27/2015,klant_1,7633,5657
151,1/27/2015,klant_2,8069,1965
152,1/27/2015,klant_3,4,5
153,1/27/2015,klant_4,0,0
154,1/27/2015,klant_5,0,0
155,1/27/2015,klant_6,0,0
156,1/28/2015,klant_1,5657,5831
157,1/28/2015,klant_2,1965,1718
158,1/28/2015,klant_3,5,6
159,1/28/2015,klant_4,0,0
160,1/28/2015,klant_5,0,0
161,1/28/2015,klant_6,0,0
162,1/29/2015,klant_1,5831,4676
163,1/29/2015,klant_2,1718,2660
164,1/29/2015,klant_3,6,7
165,1/29/2015,klant_4,0,0
166,1/29/2015,klant_5,0,0
167,1/29/2015,klant_6,0,0
168,1/30/2015,klant_1,4676,0
169,1/30/2015,klant_2,2660,0
170,1/30/2015,klant_3,7,0
171,1/30/2015,klant_4,0,0
172,1/30/2015,klant_5,0,0
173,1/30/2015,klant_6,0,0
174,1/31/2015,klant_1,0,0
175,1/31/2015,klant_2,0,1
176,1/31/2015,klant_3,0,0
177,1/31/2015,klant_4,0,0
178,1/31/2015,klant_5,0,0
179,1/31/2015,klant_6,0,0
180,2/1/2015,klant_1,0,7178
181,2/1/2015,klant_2,1,3821
182,2/1/2015,klant_3,0,6
183,2/1/2015,klant_4,0,0
184,2/1/2015,klant_5,0,0
185,2/1/2015,klant_6,0,0
186,2/2/2015,klant_1,7178,6391
187,2/2/2015,klant_2,3821,3304
188,2/2/2015,klant_3,6,6
189,2/2/2015,klant_4,0,0
190,2/2/2015,klant_5,0,0
191,2/2/2015,klant_6,0,0
192,2/3/2015,klant_1,6391,6587
193,2/3/2015,klant_2,3304,2430
194,2/3/2015,klant_3,6,3
195,2/3/2015,klant_4,0,0
196,2/3/2015,klant_5,0,0
197,2/3/2015,klant_6,0,0
198,2/4/2015,klant_1,6587,5595
199,2/4/2015,klant_2,2430,4719
200,2/4/2015,klant_3,3,8
201,2/4/2015,klant_4,0,0
202,2/4/2015,klant_5,0,0
203,2/4/2015,klant_6,0,0
204,2/5/2015,klant_1,5595,5232
205,2/5/2015,klant_2,4719,2150
206,2/5/2015,klant_3,8,4
207,2/5/2015,klant_4,0,0
208,2/5/2015,klant_5,0,0
209,2/5/2015,klant_6,0,0
210,2/6/2015,klant_1,5232,0
211,2/6/2015,klant_2,2150,0
212,2/6/2015,klant_3,4,0
213,2/6/2015,klant_4,0,0
214,2/6/2015,klant_5,0,0
215,2/6/2015,klant_6,0,0
216,2/7/2015,klant_1,0,0
217,2/7/2015,klant_2,0,4
218,2/7/2015,klant_3,0,0
219,2/7/2015,klant_4,0,0
220,2/7/2015,klant_5,0,0
221,2/7/2015,klant_6,0,0
222,2/8/2015,klant_1,0,6822
223,2/8/2015,klant_2,4,7874
224,2/8/2015,klant_3,0,11
225,2/8/2015,klant_4,0,0
226,2/8/2015,klant_5,0,0
227,2/8/2015,klant_6,0,0
228,2/9/2015,klant_1,6822,6445
229,2/9/2015,klant_2,7874,2108
230,2/9/2015,klant_3,11,6
231,2/9/2015,klant_4,0,0
232,2/9/2015,klant_5,0,0
233,2/9/2015,klant_6,0,0
234,2/10/2015,klant_1,6445,6484
235,2/10/2015,klant_2,2108,1767
236,2/10/2015,klant_3,6,8
237,2/10/2015,klant_4,0,0
238,2/10/2015,klant_5,0,0
239,2/10/2015,klant_6,0,0
240,2/11/2015,klant_1,6484,5468
241,2/11/2015,klant_2,1767,1915
242,2/11/2015,klant_3,8,3
243,2/11/2015,klant_4,0,0
244,2/11/2015,klant_5,0,0
245,2/11/2015,klant_6,0,0
246,2/12/2015,klant_1,5468,5382
247,2/12/2015,klant_2,1915,3084
248,2/12/2015,klant_3,3,9
249,2/12/2015,klant_4,0,0
250,2/12/2015,klant_5,0,0
251,2/12/2015,klant_6,0,0
252,2/13/2015,klant_1,5382,0
253,2/13/2015,klant_2,3084,0
254,2/13/2015,klant_3,9,0
255,2/13/2015,klant_4,0,0
256,2/13/2015,klant_5,0,0
257,2/13/2015,klant_6,0,0
258,2/14/2015,klant_1,0,1
259,2/14/2015,klant_2,0,0
260,2/14/2015,klant_3,0,0
261,2/14/2015,klant_4,0,0
262,2/14/2015,klant_5,0,0
263,2/14/2015,klant_6,0,0
264,2/15/2015,klant_1,1,6681
265,2/15/2015,klant_2,0,4029
266,2/15/2015,klant_3,0,12
267,2/15/2015,klant_4,0,0
268,2/15/2015,klant_5,0,0
269,2/15/2015,klant_6,0,0
270,2/16/2015,klant_1,6681,6554
271,2/16/2015,klant_2,4029,1627
272,2/16/2015,klant_3,12,4
273,2/16/2015,klant_4,0,0
274,2/16/2015,klant_5,0,0
275,2/16/2015,klant_6,0,0
276,2/17/2015,klant_1,6554,6063
277,2/17/2015,klant_2,1627,2573
278,2/17/2015,klant_3,4,1
279,2/17/2015,klant_4,0,0
280,2/17/2015,klant_5,0,0
281,2/17/2015,klant_6,0,0
282,2/18/2015,klant_1,6063,6724
283,2/18/2015,klant_2,2573,2210
284,2/18/2015,klant_3,1,2
285,2/18/2015,klant_4,0,0
286,2/18/2015,klant_5,0,0
287,2/18/2015,klant_6,0,0
288,2/19/2015,klant_1,6724,4508
289,2/19/2015,klant_2,2210,2246
290,2/19/2015,klant_3,2,6
291,2/19/2015,klant_4,0,0
292,2/19/2015,klant_5,0,0
293,2/19/2015,klant_6,0,0
294,2/20/2015,klant_1,4508,0
295,2/20/2015,klant_2,2246,0
296,2/20/2015,klant_3,6,0
297,2/20/2015,klant_4,0,0
298,2/20/2015,klant_5,0,0
299,2/20/2015,klant_6,0,0
300,2/21/2015,klant_1,0,1
301,2/21/2015,klant_2,0,1
302,2/21/2015,klant_3,0,0
303,2/21/2015,klant_4,0,0
304,2/21/2015,klant_5,0,0
305,2/21/2015,klant_6,0,0
306,2/22/2015,klant_1,1,7204
307,2/22/2015,klant_2,1,3067
308,2/22/2015,klant_3,0,10
309,2/22/2015,klant_4,0,0
310,2/22/2015,klant_5,0,0
311,2/22/2015,klant_6,0,0
312,2/23/2015,klant_1,7204,7000
313,2/23/2015,klant_2,3067,3265
314,2/23/2015,klant_3,10,11
315,2/23/2015,klant_4,0,0
316,2/23/2015,klant_5,0,0
317,2/23/2015,klant_6,0,0
318,2/24/2015,klant_1,7000,6194
319,2/24/2015,klant_2,3265,3045
320,2/24/2015,klant_3,11,4
321,2/24/2015,klant_4,0,0
322,2/24/2015,klant_5,0,0
323,2/24/2015,klant_6,0,0
324,2/25/2015,klant_1,6194,5210
325,2/25/2015,klant_2,3045,1232
326,2/25/2015,klant_3,4,6
327,2/25/2015,klant_4,0,0
328,2/25/2015,klant_5,0,0
329,2/25/2015,klant_6,0,0
330,2/26/2015,klant_1,5210,5913
331,2/26/2015,klant_2,1232,1878
332,2/26/2015,klant_3,6,6
333,2/26/2015,klant_4,0,0
334,2/26/2015,klant_5,0,0
335,2/26/2015,klant_6,0,0
336,2/27/2015,klant_1,5913,0
337,2/27/2015,klant_2,1878,0
338,2/27/2015,klant_3,6,0
339,2/27/2015,klant_4,0,0
340,2/27/2015,klant_5,0,0
341,2/27/2015,klant_6,0,0
342,2/28/2015,klant_1,0,1
343,2/28/2015,klant_2,0,16
344,2/28/2015,klant_3,0,0
345,2/28/2015,klant_4,0,0
346,2/28/2015,klant_5,0,0
347,2/28/2015,klant_6,0,0
348,3/1/2015,klant_1,1,6511
349,3/1/2015,klant_2,16,5437
350,3/1/2015,klant_3,0,11
351,3/1/2015,klant_4,0,0
352,3/1/2015,klant_5,0,0
353,3/1/2015,klant_6,0,0
354,3/2/2015,klant_1,6511,7205
355,3/2/2015,klant_2,5437,1661
356,3/2/2015,klant_3,11,9
357,3/2/2015,klant_4,0,0
358,3/2/2015,klant_5,0,0
359,3/2/2015,klant_6,0,0
360,3/3/2015,klant_1,7205,6896
